國文,英文,數學,社會,自然
11,6,13,11,14
8,10,10,13,9
11,13,10,11,9
8,12,15,13,8
11,13,15,6,8
13,6,9,10,7
6,14,9,13,13
11,10,15,7,9
7,13,12,10,7
10,11,9,9,10
12,6,8,9,11
13,9,6,7,7
15,13,12,12,8
15,13,13,11,9
7,13,14,9,9
9,13,6,10,8
7,8,6,11,12
7,7,10,11,14
10,15,7,8,6
7,15,15,15,9
15,14,14,14,11
6,13,15,10,6
8,8,8,8,8
11,11,6,14,6
15,12,9,11,15
6,12,12,14,12
9,10,15,12,10
12,14,7,8,11
7,6,14,7,12
8,8,12,8,12
8,7,11,7,14
11,12,12,10,10
11,12,6,7,10
13,7,6,13,9
13,8,15,9,8
13,7,14,10,8
11,15,6,11,15
7,13,13,12,13
11,11,8,6,7
8,10,9,7,10
8,11,10,15,9
11,13,6,15,9
10,13,7,9,6
7,12,10,14,8
12,7,15,7,12
12,7,10,12,14
6,7,15,10,15
11,11,11,9,7
13,14,8,12,14
7,8,7,6,15
14,7,10,12,11
13,9,8,6,10
14,8,10,14,7
7,12,14,10,12
6,11,7,13,8
7,9,14,11,6
6,10,8,11,11
15,12,9,14,13
15,13,13,14,15
13,7,7,12,9
11,15,12,13,13
7,13,9,13,7
8,8,6,15,15
10,6,10,9,6
14,13,8,9,11
8,11,14,13,15
9,14,8,9,7
15,11,10,13,13
13,10,13,7,13
11,8,8,11,7
7,10,9,11,12
6,15,7,13,14
6,14,9,9,15
13,13,15,7,14
10,9,14,13,12
9,7,12,10,9
10,14,9,7,15
11,12,7,13,8
14,6,13,8,6
8,13,12,10,9
15,14,8,15,8
10,8,13,8,12
10,7,7,9,11
10,13,11,8,11
14,11,9,12,11
10,15,9,6,7
9,9,9,13,12
6,6,9,14,15
9,10,10,9,10
9,7,11,7,12
13,15,7,13,15
6,15,9,8,10
6,6,12,10,13
14,13,7,14,15
11,13,6,15,7
9,6,14,13,8
8,15,8,6,10
8,9,7,9,9
11,12,13,14,14
13,15,9,8,15
